institution, ror, year, count, oa status 
University of Auckland,https://ror.org/03b94tp07,2021,910,green
University of Auckland,https://ror.org/03b94tp07,2021,555,hybrid
University of Auckland,https://ror.org/03b94tp07,2021,550,bronze
University of Auckland,https://ror.org/03b94tp07,2022,2728,closed
University of Auckland,https://ror.org/03b94tp07,2022,1594,gold
University of Auckland,https://ror.org/03b94tp07,2022,918,hybrid
University of Auckland,https://ror.org/03b94tp07,2022,762,green
University of Auckland,https://ror.org/03b94tp07,2022,340,bronze
University of Auckland,https://ror.org/03b94tp07,2023,2441,closed
University of Auckland,https://ror.org/03b94tp07,2023,1419,hybrid
University of Auckland,https://ror.org/03b94tp07,2023,1343,gold
University of Auckland,https://ror.org/03b94tp07,2023,534,bronze
University of Auckland,https://ror.org/03b94tp07,2023,416,green
University of Otago,https://ror.org/01jmxt844,2000,708,closed
University of Otago,https://ror.org/01jmxt844,2000,147,bronze
University of Otago,https://ror.org/01jmxt844,2000,47,green
University of Otago,https://ror.org/01jmxt844,2000,19,hybrid
University of Otago,https://ror.org/01jmxt844,2000,16,gold
University of Otago,https://ror.org/01jmxt844,2001,701,closed
University of Otago,https://ror.org/01jmxt844,2001,162,bronze
University of Otago,https://ror.org/01jmxt844,2001,50,green
University of Otago,https://ror.org/01jmxt844,2001,18,hybrid
University of Otago,https://ror.org/01jmxt844,2001,6,gold
University of Otago,https://ror.org/01jmxt844,2002,791,closed
University of Otago,https://ror.org/01jmxt844,2002,177,bronze
University of Otago,https://ror.org/01jmxt844,2002,50,green
University of Otago,https://ror.org/01jmxt844,2002,20,hybrid
University of Otago,https://ror.org/01jmxt844,2002,5,gold
University of Otago,https://ror.org/01jmxt844,2003,845,closed
University of Otago,https://ror.org/01jmxt844,2003,185,bronze
University of Otago,https://ror.org/01jmxt844,2003,70,green
University of Otago,https://ror.org/01jmxt844,2003,38,hybrid
University of Otago,https://ror.org/01jmxt844,2003,8,gold
University of Otago,https://ror.org/01jmxt844,2004,853,closed
University of Otago,https://ror.org/01jmxt844,2004,192,bronze
University of Otago,https://ror.org/01jmxt844,2004,68,green
University of Otago,https://ror.org/01jmxt844,2004,38,hybrid
University of Otago,https://ror.org/01jmxt844,2004,10,gold
University of Otago,https://ror.org/01jmxt844,2005,1020,closed
University of Otago,https://ror.org/01jmxt844,2005,200,bronze
University of Otago,https://ror.org/01jmxt844,2005,101,green
University of Otago,https://ror.org/01jmxt844,2005,45,hybrid
University of Otago,https://ror.org/01jmxt844,2005,34,gold
University of Otago,https://ror.org/01jmxt844,2006,1049,closed
University of Otago,https://ror.org/01jmxt844,2006,195,bronze
University of Otago,https://ror.org/01jmxt844,2006,132,green
University of Otago,https://ror.org/01jmxt844,2006,44,gold
University of Otago,https://ror.org/01jmxt844,2006,37,hybrid
University of Otago,https://ror.org/01jmxt844,2007,1130,closed
University of Otago,https://ror.org/01jmxt844,2007,244,bronze
University of Otago,https://ror.org/01jmxt844,2007,147,green
University of Otago,https://ror.org/01jmxt844,2007,51,gold
University of Otago,https://ror.org/01jmxt844,2007,41,hybrid
University of Otago,https://ror.org/01jmxt844,2008,1315,closed
University of Otago,https://ror.org/01jmxt844,2008,262,bronze
University of Otago,https://ror.org/01jmxt844,2008,150,green
University of Otago,https://ror.org/01jmxt844,2008,59,gold
University of Otago,https://ror.org/01jmxt844,2008,50,hybrid
University of Otago,https://ror.org/01jmxt844,2009,1428,closed
University of Otago,https://ror.org/01jmxt844,2009,356,bronze
University of Otago,https://ror.org/01jmxt844,2009,168,green
University of Otago,https://ror.org/01jmxt844,2009,108,gold
University of Otago,https://ror.org/01jmxt844,2009,49,hybrid
University of Otago,https://ror.org/01jmxt844,2010,1498,closed
University of Otago,https://ror.org/01jmxt844,2010,302,bronze
University of Otago,https://ror.org/01jmxt844,2010,199,green
University of Otago,https://ror.org/01jmxt844,2010,148,gold
University of Otago,https://ror.org/01jmxt844,2010,89,hybrid
University of Otago,https://ror.org/01jmxt844,2011,1675,closed
University of Otago,https://ror.org/01jmxt844,2011,408,bronze
University of Otago,https://ror.org/01jmxt844,2011,197,gold
University of Otago,https://ror.org/01jmxt844,2011,188,green
University of Otago,https://ror.org/01jmxt844,2011,107,hybrid
University of Otago,https://ror.org/01jmxt844,2012,1744,closed
University of Otago,https://ror.org/01jmxt844,2012,436,bronze
University of Otago,https://ror.org/01jmxt844,2012,262,gold
University of Otago,https://ror.org/01jmxt844,2012,198,green
University of Otago,https://ror.org/01jmxt844,2012,110,hybrid
University of Otago,https://ror.org/01jmxt844,2013,1748,closed
University of Otago,https://ror.org/01jmxt844,2013,394,bronze
University of Otago,https://ror.org/01jmxt844,2013,338,gold
